index,class
0,"thunder snake, worm snake, Carphophis amoenus"
1,"whiptail, whiptail lizard"
2,miniature schnauzer
3,"green lizard, Lacerta viridis"
4,"tree frog, tree-frog"
5,magpie
6,Japanese spaniel
7,"bloodhound, sleuthhound"
8,"house finch, linnet, Carpodacus mexicanus"
9,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui"
10,"American coot, marsh hen, mud hen, water hen, Fulica americana"
11,"king penguin, Aptenodytes patagonica"
12,"bald eagle, American eagle, Haliaeetus leucocephalus"
13,Blenheim spaniel
14,terrapin
15,"junco, snowbird"
16,"Maltese dog, Maltese terrier, Maltese"
17,Shih-Tzu
18,"ringneck snake, ring-necked snake, ring snake"
19,mud turtle
20,"robin, American robin, Turdus migratorius"
21,"indigo bunting, indigo finch, indigo bird, Passerina cyanea"
22,"Gila monster, Heloderma suspectum"
23,cock
24,black grouse
25,"cairn, cairn terrier"
26,Rhodesian ridgeback
27,"silky terrier, Sydney silky"
28,"hognose snake, puff adder, sand viper"
29,Chihuahua
30,"goldfinch, Carduelis carduelis"
31,"African crocodile, Nile crocodile, Crocodylus niloticus"
32,soft-coated wheaten terrier
33,"Scotch terrier, Scottish terrier, Scottie"
34,vulture
35,"albatross, mollymawk"
36,"common newt, Triturus vulgaris"
37,"Airedale, Airedale terrier"
38,"Sealyham terrier, Sealyham"
39,"spotted salamander, Ambystoma maculatum"
40,bustard
41,banded gecko
42,bulbul
43,West Highland white terrier
44,giant schnauzer
45,hen
46,papillon
47,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea"
48,"American chameleon, anole, Anolis carolinensis"
49,"great grey owl, great gray owl, Strix nebulosa"
50,"American alligator, Alligator mississipiensis"
51,"Boston bull, Boston terrier"
52,"ostrich, Struthio camelus"
53,dowitcher
54,"redshank, Tringa totanus"
55,"Pekinese, Pekingese, Peke"
56,"Tibetan terrier, chrysanthemum dog"
57,"red-backed sandpiper, dunlin, Erolia alpina"
58,"brambling, Fringilla montifringilla"
59,toy terrier
60,"Dandie Dinmont, Dandie Dinmont terrier"
61,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis"
62,triceratops
63,beagle
64,pelican
65,Australian terrier
66,"axolotl, mud puppy, Ambystoma mexicanum"
67,agama
68,"oystercatcher, oyster catcher"
69,"European fire salamander, Salamandra salamandra"
70,"frilled lizard, Chlamydosaurus kingi"
71,"Lhasa, Lhasa apso"
72,"water ouzel, dipper"
73,"ruddy turnstone, Arenaria interpres"
74,eft
75,"African chameleon, Chamaeleo chamaeleon"
76,"green snake, grass snake"
77,"Afghan hound, Afghan"
78,ptarmigan
79,chickadee
80,"European gallinule, Porphyrio porphyrio"
81,alligator lizard
82,Lakeland terrier
83,"basset, basset hound"
84,"loggerhead, loggerhead turtle, Caretta caretta"
85,standard schnauzer
86,jay
87,"common iguana, iguana, Iguana iguana"
88,"bullfrog, Rana catesbeiana"
89,novel
