index,class
0,"Scotch terrier, Scottish terrier, Scottie"
1,"African chameleon, Chamaeleo chamaeleon"
2,standard schnauzer
3,terrapin
4,"great grey owl, great gray owl, Strix nebulosa"
5,bustard
6,ptarmigan
7,"Pekinese, Pekingese, Peke"
8,hen
9,"Lhasa, Lhasa apso"
10,Lakeland terrier
11,pelican
12,"Tibetan terrier, chrysanthemum dog"
13,agama
14,"junco, snowbird"
15,mud turtle
16,cock
17,"cairn, cairn terrier"
18,Blenheim spaniel
19,"brambling, Fringilla montifringilla"
20,"king penguin, Aptenodytes patagonica"
21,Chihuahua
22,Japanese spaniel
23,"Dandie Dinmont, Dandie Dinmont terrier"
24,"bald eagle, American eagle, Haliaeetus leucocephalus"
25,"Airedale, Airedale terrier"
26,"albatross, mollymawk"
27,"water ouzel, dipper"
28,black grouse
29,"spotted salamander, Ambystoma maculatum"
30,vulture
31,Shih-Tzu
32,giant schnauzer
33,"common iguana, iguana, Iguana iguana"
34,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui"
35,"thunder snake, worm snake, Carphophis amoenus"
36,"basset, basset hound"
37,"Maltese dog, Maltese terrier, Maltese"
38,"Sealyham terrier, Sealyham"
39,"frilled lizard, Chlamydosaurus kingi"
40,"red-backed sandpiper, dunlin, Erolia alpina"
41,"redshank, Tringa totanus"
42,"oystercatcher, oyster catcher"
43,"American alligator, Alligator mississipiensis"
44,"hognose snake, puff adder, sand viper"
45,Australian terrier
46,papillon
47,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis"
48,"American chameleon, anole, Anolis carolinensis"
49,"bloodhound, sleuthhound"
50,"European fire salamander, Salamandra salamandra"
51,eft
52,"ostrich, Struthio camelus"
53,triceratops
54,soft-coated wheaten terrier
55,West Highland white terrier
56,"loggerhead, loggerhead turtle, Caretta caretta"
57,bulbul
58,alligator lizard
59,"African crocodile, Nile crocodile, Crocodylus niloticus"
60,"house finch, linnet, Carpodacus mexicanus"
61,"goldfinch, Carduelis carduelis"
62,"common newt, Triturus vulgaris"
63,"Afghan hound, Afghan"
64,"bullfrog, Rana catesbeiana"
65,Rhodesian ridgeback
66,beagle
67,"green lizard, Lacerta viridis"
68,banded gecko
69,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea"
70,"tree frog, tree-frog"
71,toy terrier
72,"Gila monster, Heloderma suspectum"
73,"axolotl, mud puppy, Ambystoma mexicanum"
74,dowitcher
75,"whiptail, whiptail lizard"
76,chickadee
77,"green snake, grass snake"
78,"silky terrier, Sydney silky"
79,"indigo bunting, indigo finch, indigo bird, Passerina cyanea"
80,"Boston bull, Boston terrier"
81,jay
82,"American coot, marsh hen, mud hen, water hen, Fulica americana"
83,"ringneck snake, ring-necked snake, ring snake"
84,"ruddy turnstone, Arenaria interpres"
85,"robin, American robin, Turdus migratorius"
86,magpie
87,miniature schnauzer
88,"European gallinule, Porphyrio porphyrio"
89,novel
